simbolo,descripcion,moneda,mercado,pais,paneles,visto_desde
*MAV210901118,Cheque Ars 23/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV231001309,Cheque Ars 27/10/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV240901318,Cheque Ars 28/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV250901512,Cheque Ars 29/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV251101701,Cheque ARS 27/11/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV261000953,Cheque Ars 28/10/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV280801746,Cheque Ars 01/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV280901105,Cheque Ars 30/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV300902657,Cheque ARS 02/10/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
*MAV310801815,Cheque Ars 02/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
A3,Matba Rofex S.A.,AR$,BCBA,argentina,Acciones/Panel General,2026-08-29
AAL,Cedear American Airlines Group,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AALC,Cedear American Airlines Group,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AALD,Cedear American Airlines Group,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AAP,Cedear Advance Auto Parts Inc,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AAPL,Cedear Apple Inc.,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AAPLC,Cedear Apple Inc.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AAPLD,Cedear Apple Inc.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABBV,Cedear Abbvie Inc.,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABBVC,Cedear Abbvie Inc.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABBVD,Cedear Abbvie Inc.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABEV,Cedear Ambev S.A.,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABEV3,Cedear Ambev S.A,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABEVC,Cedear Ambev S.A.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABEVD,Cedear Ambev S.A.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABNB,Cedear Airbnb Inc.,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABNBC,Cedear Airbnb Inc.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABNBD,Cedear Airbnb Inc.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABT,Cedear Abbott Laboratories,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABTC,Cedear Abbott Laboratories Esc,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ABTD,Cedear Abbott Laboratories Esc,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ACN,Cedear Accenture Plc,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ACNC,Cedear Accenture Plc,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ACND,Cedear Accenture Plc,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ACWI,Cedear Ishares Msci Acwi Etf,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ACWID,Cedear Ishares Msci Acwi Etf,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ADBAICA,Adcap Cobertura,peso_Argentino,bcba,argentina,FCI/Todos,2026-08-29
ADBARFA,Adcap Balanceado XVI,peso_Argentino,bcba,argentina,FCI/Todos,2026-08-29
ADBE,Cedear  Adobe Systems Incorporated,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ADBEC,Cedear  Adobe Systems Incorporated,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ADBED,Cedear  Adobe Systems Incorpor,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ADCGLOA,Adcap Renta Dólar,dolar_Estadounidense,bcba,argentina,FCI/Todos,2026-08-29
ADCUSAD,Adcap Ahorro Dólares,dolar_Estadounidense,bcba,argentina,FCI/Todos,2026-08-29
ADGO,Cedear Adecoagro S.A.,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ADGOD,Cedear Adecoagro S.A.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ADI,Cedear Analog Devices Inc.,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ADID,Cedear Analog Devices Inc.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ADP,Cedear Automatic Data Processi,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ADPD,Cedear Automatic Data Processing Inc,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ADRDOLA,Adcap Ahorro Pesos Fondo De Dinero,peso_Argentino,bcba,argentina,FCI/Todos,2026-08-29
ADS,Cedear Adidas Ag,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AE38,BONO REP. ARGENTINA USD STEP UP 2038,AR$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AE38C,BONO REP. ARGENTINA USD STEP UP 2038,US$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AE38D,Bono Rep. Argentina Usd Step Up 2038,US$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AEC3D,On Aes Argentina Generacion Cl.3 06/08/28 Usd,US$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AEC3O,On Aes Argentina Generacion Cl.3 06/08/28 Usd,AR$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AEG,Cedear Aegon N.V. American Reg,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AEM,Cedear Agnico Eagle Mines Limi,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AEMD,Cedear Agnico-Eagle Mines Limi,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AER1O,AEROPUERTOS ARGENTINA 2000 S.A. - Garantizadas Clase I Serie 2020- Vto. 1/2/2027,AR$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AERBD,On Aerop Arg 2000 11 V15/12/26 U$S Cg,US$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AERBO,On Aerop Arg 2000 11 V15/12/26 U$S Cg,AR$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCIC,On Banco Comafi Cl.17 07/11/26 Usd,US$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCID,On Banco Comafi Cl.17 07/11/26 Usd,US$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCIO,On Banco Comafi Cl.17 07/11/26 Usd,AR$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCJC,On Banco Comafi Cl.18 06/02/27 Usd,US$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCJD,On Banco Comafi Cl.18 06/02/27 Usd,US$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCJO,On Banco Comafi Cl.18 06/02/27 Usd,AR$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCKC,On Banco Comafi Cl.19 06/02/29 Usd,US$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCKD,On Banco Comafi Cl.19 06/02/29 Usd,US$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCKO,On Banco Comafi Cl.19 06/02/29 Usd,AR$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCNO,On Banco Comafi Cl.22 17/04/27 $,AR$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCPC,On Banco Comafi Cl.24 05/06/28 Usd,US$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCPD,On Banco Comafi Cl.24 05/06/28 Usd,US$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AFCPO,On Banco Comafi Cl.24 05/06/28 Usd,AR$,BCBA,argentina,ObligacionesNegociables/Todas,2026-08-29
AGRO,Agrometal,AR$,BCBA,argentina,Acciones/Panel General | Acciones/Burcap,2026-08-29
AI,Cedear C3.Ai Inc,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AIC,Cedear C3.Ai Inc,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AID,Cedear C3.Ai Inc,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AIG,Cedear American International,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AIGC,Cedear American International,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AIGD,Cedear American International,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AKO.B,Cedear Embotelladora Andina S.A,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AKOBD,Cedear Embotelladora Andina S.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AL29,Bono Rep Argentina Usd 1% 2029,AR$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AL29C,BONO REP ARGENTINA USD 1% 2029,US$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AL29D,BONO REP ARGENTINA USD 1% 2029,US$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AL30,Bono Rep. Argentina Usd Step Up 2030,AR$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AL30C,Bono Rep. Argentina Usd Step Up 2030,US$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AL30D,Bono Rep. Argentina Usd Step Up 2030,US$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AL35,Bono Rep. Argentina Usd Step Up 2035,AR$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AL35C,Bono Rep. Argentina Usd Step Up 2035,US$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AL35D,Bono Rep. Argentina Usd Step Up 2035,US$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AL41,BONO REP. ARGENTINA USD STEP UP 2041,AR$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AL41C,BONO REP. ARGENTINA USD STEP UP 2041,US$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
AL41D,BONO REP. ARGENTINA USD STEP UP 2041,US$,BCBA,argentina,Bonos/Soberanos en dólares | Bonos/Todos,2026-08-29
ALAB,CEDEAR ASTERA LABS INC.,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ALAD,Cedear Astera Labs Inc.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
ALUA,Aluar,AR$,BCBA,argentina,Acciones/Merval | Acciones/Merval 25 | Acciones/Merval Argentina | Acciones/Burcap,2026-08-29
ALUAD,Aluar,US$,BCBA,argentina,Acciones/Merval Argentina,2026-08-29
AMAT,Cedear Applied Materials Inc.,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMATD,Cedear Applied Materials Inc.E,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMD,"Cedear Advanced Micro Devices,",AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMDC,"Cedear Advanced Micro Devices,",US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMDD,"Cedear Advanced Micro Devices,",US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMGN,Cedear Amgen Inc.,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMGNC,Cedear Amgen Inc.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMGND,Cedear Amgen Inc.,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMX,Cedear America Movil Sab De Cv,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMXD,Cedear America Movil Sab De Cv,US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMZN,"Cedear Amazon.Com, Inc",AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMZNC,"Cedear Amazon.Com, Inc",US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AMZND,"Cedear Amazon.Com, Inc",US$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
AN29,"BONO TESORO NACIONAL 6,50% 30/11/29 USD",AR$,BCBA,argentina,Bonos/Todos,2026-08-29
AN29C,"BONO TESORO NACIONAL 6,50% 30/11/29 USD",US$,BCBA,argentina,Bonos/Todos,2026-08-29
AN29D,"BONO TESORO NACIONAL 6,50% 30/11/29 USD",US$,BCBA,argentina,Bonos/Todos,2026-08-29
ANET,CEDEAR ARISTA NETWORKS INC.,AR$,BCBA,argentina,Acciones/CEDEARs,2026-08-29
